"auto_0.02","auto_0.54","auto_0.95","auto_0.95rev"
237,223,253,232
249,239,259,234
227,271,255,234
219,250,253,233
235,231,252,236
221,197,264,235
243,194,265,233
232,219,291,223
231,237,288,223
207,255,262,221
271,264,258,226
270,235,261,222
244,223,262,225
239,233,262,220
208,212,253,221
223,197,263,223
221,222,264,219
222,262,262,208
216,262,267,207
234,253,270,204
255,228,270,194
271,216,297,186
246,255,274,194
233,249,270,191
289,221,268,197
220,237,262,205
255,208,251,202
250,219,248,197
264,225,264,208
228,232,269,221
219,202,268,225
212,220,275,234
264,248,296,225
247,221,272,228
219,191,271,229
264,220,282,225
191,229,293,222
236,252,289,231
259,243,273,231
288,269,271,228
234,270,265,227
237,293,255,221
225,296,250,206
274,291,248,216
209,264,247,219
225,222,244,209
235,262,240,212
258,262,245,214
272,270,251,220
275,221,250,220
220,265,249,217
197,207,246,219
268,239,247,219
253,251,243,215
221,206,243,213
233,236,239,221
213,234,239,228
220,246,239,233
273,251,238,235
261,221,237,237
262,225,237,237
297,220,235,238
238,209,233,239
270,215,228,239
194,262,221,239
197,247,213,243
204,250,215,243
233,253,219,247
245,268,219,246
202,228,217,249
221,263,220,250
282,270,220,251
269,288,214,245
267,271,212,240
214,231,209,244
270,214,219,247
262,186,216,248
250,204,206,250
223,208,221,255
251,245,227,265
240,243,228,271
262,233,231,273
206,194,231,289
291,219,222,293
248,238,225,282
186,264,229,271
239,268,228,272
296,235,225,296
265,265,234,275
222,234,225,268
225,239,221,269
243,253,208,264
251,234,197,248
226,274,202,251
215,273,205,262
253,221,197,268
263,261,191,270
228,259,194,274
223,213,186,297
268,244,194,270
229,226,204,270
248,248,207,267
231,267,208,262
205,297,219,264
252,289,223,263
234,275,221,253
228,282,220,262
247,272,225,262
217,258,222,261
253,247,226,258
194,233,221,262
239,223,223,288
262,240,223,291
262,217,233,265
225,219,235,264
293,225,236,252
219,228,233,253
208,205,234,255
221,225,234,259
265,227,232,253
