"auto_0.02","auto_0.59","auto_0.95","auto_0.95rev"
256,259,248,261
222,252,244,253
301,255,236,255
281,223,232,265
314,228,238,266
238,272,241,262
255,286,245,259
283,238,251,263
232,232,251,264
252,236,251,263
287,239,248,259
239,285,240,255
242,256,247,260
298,273,232,262
265,289,237,268
302,251,228,268
288,275,231,273
315,245,222,270
285,212,227,268
245,248,223,270
304,237,228,273
231,240,212,279
275,228,227,278
268,241,232,283
300,283,236,285
263,287,242,283
306,293,245,280
293,299,239,275
310,295,237,272
240,310,238,266
273,288,251,278
241,314,252,280
262,290,253,282
251,285,256,284
228,288,255,287
251,278,266,287
251,302,265,293
282,266,266,297
284,238,266,298
312,278,273,321
232,260,275,318
260,227,271,297
266,261,268,290
232,283,275,290
248,251,278,310
273,263,281,308
244,264,279,306
266,237,281,301
290,259,278,299
264,270,283,312
280,287,287,290
283,265,288,313
285,268,286,302
285,300,285,304
289,273,285,314
212,268,288,301
278,281,289,300
286,275,295,315
266,287,305,295
268,321,310,293
255,313,293,310
271,306,295,305
273,315,315,295
236,304,300,289
263,297,301,288
255,318,314,285
245,278,304,285
265,295,302,286
297,281,313,288
287,271,290,287
237,251,312,283
236,273,299,278
321,305,301,281
247,312,306,279
278,310,308,281
305,280,310,278
287,285,290,275
308,283,290,268
295,301,297,271
259,293,318,275
310,298,321,273
275,279,298,266
266,268,297,266
272,308,293,265
270,301,287,266
295,290,287,255
313,279,284,256
275,268,282,253
270,266,280,252
227,275,278,251
262,297,266,238
299,253,272,237
290,278,275,239
228,253,280,245
283,262,283,242
278,255,285,236
259,280,283,232
251,282,278,227
279,290,279,212
237,242,273,228
290,236,270,223
281,270,268,227
227,248,270,222
223,232,273,231
288,266,268,228
318,284,268,237
293,232,262,232
297,262,260,247
253,266,255,240
280,245,259,248
253,244,263,251
248,227,264,251
268,265,263,251
278,263,259,245
261,247,262,241
268,251,266,238
266,266,265,232
279,222,255,236
301,231,253,244
238,255,261,248
