"auto_0.04","auto_0.53","auto_0.91","NA"
104,88,91,94
125,84,92,97
110,81,90,102
86,81,89,104
101,99,89,108
135,90,88,108
104,84,88,109
178,121,88,108
111,110,90,106
134,130,86,110
81,134,84,114
119,105,84,114
117,128,83,119
127,114,82,119
80,106,81,123
115,110,80,119
84,114,80,119
169,94,81,116
154,90,81,123
108,131,80,131
101,93,81,126
88,96,81,130
83,117,82,125
114,136,82,121
84,198,82,129
103,142,82,136
82,133,83,142
128,95,84,169
133,89,82,155
123,94,85,149
114,178,87,198
81,149,90,178
92,96,90,161
155,104,92,197
114,92,94,139
94,100,93,172
123,82,93,152
82,119,94,154
104,123,92,139
108,154,91,139
139,172,94,136
121,139,94,123
129,125,96,133
82,111,101,123
97,109,103,125
85,128,99,127
126,197,96,125
110,134,95,134
172,125,95,135
106,101,100,128
125,94,106,128
125,123,114,134
90,125,114,121
83,169,104,110
90,161,104,110
94,139,104,114
94,83,105,111
100,87,101,117
104,88,102,115
89,81,110,114
123,82,114,110
102,90,115,102
197,102,117,101
123,136,111,105
95,123,114,104
110,115,110,104
90,127,110,104
93,97,121,114
92,89,134,114
110,91,128,106
84,82,128,100
87,86,135,95
116,94,134,95
114,82,125,96
80,155,127,99
152,152,125,103
136,119,123,101
96,126,133,96
139,108,123,94
106,101,136,94
92,104,139,91
82,108,139,92
90,114,154,94
89,103,152,93
130,108,172,93
80,114,139,94
109,129,197,92
134,85,161,90
161,82,178,90
95,114,198,87
198,104,149,85
102,110,155,82
149,95,169,84
81,114,142,83
82,94,136,82
94,93,129,82
91,121,121,82
81,106,125,82
93,88,130,81
105,81,126,81
94,80,131,80
119,80,123,81
136,81,116,81
131,84,119,80
121,80,119,80
139,83,123,81
119,82,119,82
96,102,119,83
88,119,114,84
81,119,114,84
99,90,110,86
82,92,106,90
142,92,108,88
108,91,109,88
91,110,108,88
128,104,108,89
114,139,104,89
88,116,102,90
114,123,97,92
119,135,94,91
