"Plot Title: inc4_aug4_2023"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 10316940, SEN S/N: 10316940)","Intensity, Lux (LGR S/N: 10316940, SEN S/N: 10316940)","Coupler Detached (LGR S/N: 10316940)","Coupler Attached (LGR S/N: 10316940)","Host Connected (LGR S/N: 10316940)","Stopped (LGR S/N: 10316940)","End Of File (LGR S/N: 10316940)"
1,08/04/23 11:59:13  AM,21.091,107.6,,,,,
2,08/04/23 11:59:17  AM,,,Logged,,,,
3,08/04/23 12:59:13  PM,39.843,1980.6,,,,,
4,08/04/23 01:59:13  PM,40.415,2669.5,,,,,
5,08/04/23 02:59:13  PM,40.530,2325.0,,,,,
6,08/04/23 03:59:13  PM,40.415,2927.8,,,,,
7,08/04/23 04:59:13  PM,39.957,2497.2,,,,,
8,08/04/23 05:59:13  PM,39.050,3272.2,,,,,
9,08/04/23 06:59:13  PM,38.046,3444.5,,,,,
10,08/04/23 07:59:13  PM,36.946,3272.2,,,,,
11,08/04/23 08:59:13  PM,36.728,3616.7,,,,,
12,08/04/23 09:59:13  PM,37.935,3272.2,,,,,
13,08/04/23 10:59:13  PM,37.494,0.0,,,,,
14,08/04/23 11:59:13  PM,36.079,0.0,,,,,
15,08/05/23 12:59:13  AM,36.187,0.0,,,,,
16,08/05/23 01:59:13  AM,36.728,0.0,,,,,
17,08/05/23 02:59:13  AM,35.542,0.0,,,,,
18,08/05/23 03:59:13  AM,35.542,0.0,,,,,
19,08/05/23 04:59:13  AM,36.620,0.0,,,,,
20,08/05/23 05:59:13  AM,37.274,0.0,,,,,
21,08/05/23 06:59:13  AM,38.046,2583.4,,,,,
22,08/05/23 07:59:13  AM,37.714,3616.7,,,,,
23,08/05/23 08:59:13  AM,37.935,1980.6,,,,,
24,08/05/23 09:59:13  AM,37.055,1980.6,,,,,
25,08/05/23 10:59:13  AM,35.971,2669.5,,,,,
26,08/05/23 11:59:13  AM,35.649,2325.0,,,,,
27,08/05/23 12:59:13  PM,35.222,2755.6,,,,,
28,08/05/23 01:59:13  PM,35.115,3444.5,,,,,
29,08/05/23 02:59:13  PM,34.585,3616.7,,,,,
30,08/05/23 03:59:13  PM,34.374,3272.2,,,,,
31,08/05/23 04:59:13  PM,34.691,3788.9,,,,,
32,08/05/23 05:59:13  PM,35.435,3616.7,,,,,
33,08/05/23 06:59:13  PM,36.187,3444.5,,,,,
34,08/05/23 07:59:13  PM,36.837,3616.7,,,,,
35,08/05/23 08:59:13  PM,37.274,2325.0,,,,,
36,08/05/23 09:59:13  PM,37.274,3272.2,,,,,
37,08/05/23 10:59:13  PM,36.187,0.0,,,,,
38,08/05/23 11:59:13  PM,36.187,0.0,,,,,
39,08/06/23 12:59:13  AM,36.620,0.0,,,,,
40,08/06/23 01:59:13  AM,36.079,0.0,,,,,
41,08/06/23 02:59:13  AM,34.903,0.0,,,,,
42,08/06/23 03:59:13  AM,34.585,0.0,,,,,
43,08/06/23 04:59:13  AM,34.374,0.0,,,,,
44,08/06/23 05:59:13  AM,34.903,0.0,,,,,
45,08/06/23 06:59:13  AM,36.620,3616.7,,,,,
46,08/06/23 07:59:13  AM,36.946,2497.2,,,,,
47,08/06/23 08:59:13  AM,37.274,3616.7,,,,,
48,08/06/23 09:59:13  AM,37.055,3616.7,,,,,
49,08/06/23 10:59:13  AM,36.511,2238.9,,,,,
50,08/06/23 11:59:13  AM,36.620,3616.7,,,,,
51,08/06/23 12:59:13  PM,36.620,3272.2,,,,,
52,08/06/23 01:59:13  PM,36.187,2583.4,,,,,
53,08/06/23 02:59:13  PM,35.971,3616.7,,,,,
54,08/06/23 03:59:13  PM,35.542,1980.6,,,,,
55,08/06/23 04:59:13  PM,34.691,3444.5,,,,,
56,08/06/23 05:59:13  PM,33.953,2066.7,,,,,
57,08/06/23 06:59:13  PM,34.058,3272.2,,,,,
58,08/06/23 07:59:13  PM,34.163,3272.2,,,,,
59,08/06/23 08:59:13  PM,34.058,3444.5,,,,,
60,08/06/23 09:59:13  PM,34.374,3788.9,,,,,
61,08/06/23 10:59:13  PM,33.639,0.0,,,,,
62,08/06/23 11:59:13  PM,33.535,0.0,,,,,
63,08/07/23 12:59:13  AM,33.639,0.0,,,,,
64,08/07/23 01:59:13  AM,33.848,0.0,,,,,
65,08/07/23 02:59:13  AM,33.535,0.0,,,,,
66,08/07/23 03:59:13  AM,33.743,0.0,,,,,
67,08/07/23 04:59:13  AM,34.163,0.0,,,,,
68,08/07/23 05:59:13  AM,34.268,0.0,,,,,
69,08/07/23 06:59:13  AM,35.649,1980.6,,,,,
70,08/07/23 07:59:13  AM,36.837,3444.5,,,,,
71,08/07/23 08:59:13  AM,38.490,2927.8,,,,,
72,08/07/23 09:59:13  AM,39.163,2927.8,,,,,
73,08/07/23 10:59:13  AM,39.276,3444.5,,,,,
74,08/07/23 11:59:13  AM,39.843,3444.5,,,,,
75,08/07/23 12:59:13  PM,40.185,2583.4,,,,,
76,08/07/23 01:59:13  PM,40.645,2152.8,,,,,
77,08/07/23 02:59:13  PM,40.992,2755.6,,,,,
78,08/07/23 03:59:13  PM,41.225,3616.7,,,,,
79,08/07/23 04:59:13  PM,41.575,3616.7,,,,,
80,08/07/23 05:59:13  PM,41.225,2755.6,,,,,
81,08/07/23 06:59:13  PM,41.458,3272.2,,,,,
82,08/07/23 07:59:13  PM,41.928,2755.6,,,,,
83,08/07/23 08:59:13  PM,41.810,3616.7,,,,,
84,08/07/23 09:59:13  PM,41.692,1980.6,,,,,
85,08/07/23 10:59:13  PM,41.225,0.0,,,,,
86,08/07/23 11:59:13  PM,41.575,0.0,,,,,
87,08/08/23 12:59:13  AM,41.225,0.0,,,,,
88,08/08/23 01:59:13  AM,41.108,0.0,,,,,
89,08/08/23 02:59:13  AM,41.575,0.0,,,,,
90,08/08/23 03:59:13  AM,41.341,0.0,,,,,
91,08/08/23 04:59:13  AM,40.992,0.0,,,,,
92,08/08/23 05:59:13  AM,40.761,0.0,,,,,
93,08/08/23 06:59:13  AM,40.992,1980.6,,,,,
94,08/08/23 07:59:13  AM,40.876,3100.0,,,,,
95,08/08/23 08:59:13  AM,41.341,2583.4,,,,,
96,08/08/23 09:59:13  AM,40.530,2927.8,,,,,
97,08/08/23 10:59:13  AM,39.615,2583.4,,,,,
98,08/08/23 11:59:13  AM,39.843,2927.8,,,,,
99,08/08/23 12:59:13  PM,40.645,3616.7,,,,,
100,08/08/23 01:59:13  PM,40.876,3100.0,,,,,
101,08/08/23 02:59:13  PM,40.415,2152.8,,,,,
102,08/08/23 03:59:13  PM,40.300,2066.7,,,,,
103,08/08/23 04:59:13  PM,40.071,2411.1,,,,,
104,08/08/23 05:59:13  PM,40.071,3616.7,,,,,
105,08/08/23 06:59:13  PM,40.300,2325.0,,,,,
106,08/08/23 07:59:13  PM,39.843,3444.5,,,,,
107,08/08/23 08:59:13  PM,38.826,2238.9,,,,,
108,08/08/23 09:59:13  PM,38.714,3616.7,,,,,
109,08/08/23 10:59:13  PM,38.046,0.0,,,,,
110,08/08/23 11:59:13  PM,37.165,0.0,,,,,
111,08/09/23 12:59:13  AM,35.649,0.0,,,,,
112,08/09/23 01:59:13  AM,34.691,0.0,,,,,
113,08/09/23 02:59:13  AM,35.115,0.0,,,,,
114,08/09/23 03:59:13  AM,35.542,0.0,,,,,
115,08/09/23 04:59:13  AM,35.328,0.0,,,,,
116,08/09/23 05:59:13  AM,35.435,0.0,,,,,
117,08/09/23 06:59:13  AM,36.837,2152.8,,,,,
118,08/09/23 07:59:13  AM,36.946,2755.6,,,,,
119,08/09/23 08:59:13  AM,37.055,3616.7,,,,,
120,08/09/23 09:59:13  AM,37.494,3444.5,,,,,
