Company,,University of Waterloo,,Tested by,,
Experiment,,,,Probe ID,,
Ser.-No.,,R511.0379,,Measuring period,,2023-01-12 10:57:00 AM - 2023-01-17 11:06:00 AM
,,,,,,
,,,,,,
,,,,,,
Date,Time,Temp.,Set-,Alarm,Alarm,Alarm
,,,Point,Min.,Max.,Temp.
,,(°C),(°C),(°C),(°C),(°C)
,,,,,,
2023-01-12,10:57,20.0,20.0,,,
2023-01-12,10:58,20.0,20.2,,,
2023-01-12,10:59,20.0,20.5,,,
2023-01-12,11:00,20.0,20.8,,,
2023-01-12,11:01,20.1,21.1,,,
2023-01-12,11:02,20.2,21.4,,,
2023-01-12,11:03,20.3,21.7,,,
2023-01-12,11:04,20.6,21.9,,,
2023-01-12,11:05,20.7,22.2,,,
2023-01-12,11:06,21.1,22.5,,,
2023-01-12,11:07,21.5,22.8,,,
2023-01-12,11:08,21.7,23.1,,,
2023-01-12,11:09,22.2,23.4,,,
2023-01-12,11:10,22.5,23.7,,,
2023-01-12,11:11,22.7,23.9,,,
2023-01-12,11:12,23.2,24.2,,,
2023-01-12,11:13,23.5,24.5,,,
2023-01-12,11:14,23.7,24.8,,,
2023-01-12,11:15,24.2,25.1,,,
2023-01-12,11:16,24.5,25.4,,,
2023-01-12,11:17,24.7,25.7,,,
2023-01-12,11:18,25.2,25.9,,,
2023-01-12,11:19,25.5,26.2,,,
2023-01-12,11:20,25.7,26.5,,,
2023-01-12,11:21,26.2,26.8,,,
2023-01-12,11:22,26.5,27.1,,,
2023-01-12,11:23,26.7,27.4,,,
2023-01-12,11:24,27.2,27.6,,,
2023-01-12,11:25,27.5,27.9,,,
2023-01-12,11:26,27.7,28.2,,,
2023-01-12,11:27,28.1,28.5,,,
2023-01-12,11:28,28.3,28.8,,,
2023-01-12,11:29,28.7,29.1,,,
2023-01-12,11:30,29.1,29.4,,,
2023-01-12,11:31,29.3,29.6,,,
2023-01-12,11:32,29.6,29.9,,,
2023-01-12,11:33,29.8,30.2,,,
2023-01-12,11:34,30.2,30.5,,,
2023-01-12,11:35,30.6,30.8,,,
2023-01-12,11:36,30.8,31.1,,,
2023-01-12,11:37,31.2,31.4,,,
2023-01-12,11:38,31.5,31.6,,,
2023-01-12,11:39,31.7,31.9,,,
2023-01-12,11:40,32.0,32.2,,,
2023-01-12,11:41,32.2,32.5,,,
2023-01-12,11:42,32.5,32.8,,,
2023-01-12,11:43,32.9,33.1,,,
2023-01-12,11:44,33.2,33.3,,,
2023-01-12,11:45,33.5,33.6,,,
2023-01-12,11:46,33.7,33.9,,,
2023-01-12,11:47,34.0,34.2,,,
2023-01-12,11:48,34.2,34.5,,,
2023-01-12,11:49,34.5,34.8,,,
2023-01-12,11:50,34.7,35.1,,,
2023-01-12,11:51,35.0,35.3,,,
2023-01-12,11:52,35.5,35.6,,,
2023-01-12,11:53,35.7,35.9,,,
2023-01-12,11:54,36.0,36.2,,,
2023-01-12,11:55,36.2,36.5,,,
2023-01-12,11:56,36.5,36.8,,,
2023-01-12,11:57,36.9,37.1,,,
2023-01-12,11:58,37.0,37.0,,,
2023-01-12,11:59,37.4,37.0,,,
2023-01-12,12:00,37.5,36.9,,,
2023-01-12,12:01,37.5,36.9,,,
2023-01-12,12:02,37.5,36.9,,,
2023-01-12,12:03,37.5,36.8,,,
2023-01-12,12:04,37.5,36.8,,,
2023-01-12,12:05,37.2,36.7,,,
2023-01-12,12:06,37.0,36.7,,,
2023-01-12,12:07,37.0,36.7,,,
2023-01-12,12:08,37.0,36.6,,,
2023-01-12,12:09,37.0,36.6,,,
2023-01-12,12:10,37.0,36.5,,,
2023-01-12,12:11,37.0,36.5,,,
2023-01-12,12:12,36.9,36.5,,,
2023-01-12,12:13,36.7,36.4,,,
2023-01-12,12:14,36.7,36.4,,,
2023-01-12,12:15,36.7,36.3,,,
2023-01-12,12:16,36.7,36.3,,,
2023-01-12,12:17,36.5,36.3,,,
2023-01-12,12:18,36.5,36.2,,,
2023-01-12,12:19,36.5,36.2,,,
2023-01-12,12:20,36.4,36.1,,,
2023-01-12,12:21,36.4,36.1,,,
2023-01-12,12:22,36.2,36.1,,,
2023-01-12,12:23,36.2,36.0,,,
2023-01-12,12:24,36.2,36.0,,,
2023-01-12,12:25,36.2,35.9,,,
2023-01-12,12:26,36.0,35.9,,,
2023-01-12,12:27,36.0,35.9,,,
2023-01-12,12:28,36.0,35.8,,,
2023-01-12,12:29,36.0,35.8,,,
2023-01-12,12:30,35.9,35.7,,,
2023-01-12,12:31,35.9,35.7,,,
2023-01-12,12:32,35.7,35.7,,,
2023-01-12,12:33,35.7,35.6,,,
2023-01-12,12:34,35.7,35.6,,,
2023-01-12,12:35,35.7,35.5,,,
2023-01-12,12:36,35.7,35.5,,,
2023-01-12,12:37,35.5,35.5,,,
2023-01-12,12:38,35.5,35.4,,,
2023-01-12,12:39,35.5,35.4,,,
2023-01-12,12:40,35.5,35.3,,,
2023-01-12,12:41,35.4,35.3,,,
2023-01-12,12:42,35.4,35.3,,,
2023-01-12,12:43,35.2,35.2,,,
2023-01-12,12:44,35.2,35.2,,,
2023-01-12,12:45,35.2,35.1,,,
2023-01-12,12:46,35.2,35.1,,,
2023-01-12,12:47,35.2,35.1,,,
2023-01-12,12:48,35.0,35.0,,,
2023-01-12,12:49,35.0,35.0,,,
2023-01-12,12:50,35.0,34.9,,,
2023-01-12,12:51,35.0,34.9,,,
2023-01-12,12:52,34.9,34.9,,,
2023-01-12,12:53,34.9,34.8,,,
2023-01-12,12:54,34.9,34.8,,,
2023-01-12,12:55,34.7,34.7,,,
2023-01-12,12:56,34.7,34.7,,,
2023-01-12,12:57,34.7,34.7,,,
2023-01-12,12:58,34.7,34.7,,,
2023-01-12,12:59,34.7,34.8,,,
2023-01-12,13:00,34.7,34.9,,,
2023-01-12,13:01,34.7,34.9,,,
2023-01-12,13:02,34.7,35.0,,,
2023-01-12,13:03,34.7,35.1,,,
2023-01-12,13:04,34.7,35.1,,,
2023-01-12,13:05,35.0,35.2,,,
2023-01-12,13:06,35.0,35.3,,,
2023-01-12,13:07,35.2,35.4,,,
2023-01-12,13:08,35.2,35.4,,,
2023-01-12,13:09,35.2,35.5,,,
2023-01-12,13:10,35.4,35.6,,,
2023-01-12,13:11,35.4,35.6,,,
2023-01-12,13:12,35.5,35.7,,,
2023-01-12,13:13,35.5,35.8,,,
2023-01-12,13:14,35.7,35.8,,,
2023-01-12,13:15,35.7,35.9,,,
2023-01-12,13:16,35.7,36.0,,,
2023-01-12,13:17,35.9,36.1,,,
2023-01-12,13:18,36.0,36.1,,,
2023-01-12,13:19,36.0,36.2,,,
2023-01-12,13:20,36.2,36.3,,,
2023-01-12,13:21,36.2,36.3,,,
2023-01-12,13:22,36.2,36.4,,,
2023-01-12,13:23,36.2,36.5,,,
2023-01-12,13:24,36.4,36.5,,,
2023-01-12,13:25,36.5,36.6,,,
2023-01-12,13:26,36.5,36.7,,,
2023-01-12,13:27,36.5,36.8,,,
2023-01-12,13:28,36.7,36.8,,,
2023-01-12,13:29,36.7,36.9,,,
2023-01-12,13:30,36.9,37.0,,,
2023-01-12,13:31,36.9,37.0,,,
2023-01-12,13:32,37.0,37.1,,,
2023-01-12,13:33,37.0,37.2,,,
2023-01-12,13:34,37.0,37.2,,,
2023-01-12,13:35,37.2,37.3,,,
2023-01-12,13:36,37.4,37.4,,,
2023-01-12,13:37,37.4,37.5,,,
2023-01-12,13:38,37.5,37.5,,,
2023-01-12,13:39,37.5,37.6,,,
2023-01-12,13:40,37.5,37.7,,,
2023-01-12,13:41,37.5,37.7,,,
2023-01-12,13:42,37.7,37.8,,,
2023-01-12,13:43,37.7,37.9,,,
2023-01-12,13:44,37.7,37.9,,,
2023-01-12,13:45,37.9,38.0,,,
2023-01-12,13:46,38.0,38.1,,,
2023-01-12,13:47,38.0,38.2,,,
2023-01-12,13:48,38.2,38.2,,,
2023-01-12,13:49,38.2,38.3,,,
2023-01-12,13:50,38.2,38.4,,,
2023-01-12,13:51,38.4,38.4,,,
2023-01-12,13:52,38.4,38.5,,,
2023-01-12,13:53,38.5,38.6,,,
2023-01-12,13:54,38.5,38.6,,,
2023-01-12,13:55,38.5,38.7,,,
2023-01-12,13:56,38.7,38.8,,,
2023-01-12,13:57,38.7,38.9,,,
2023-01-12,13:58,38.7,38.8,,,
2023-01-12,13:59,38.9,38.8,,,
2023-01-12,14:00,38.9,38.7,,,
2023-01-12,14:01,38.9,38.7,,,
2023-01-12,14:02,38.9,38.7,,,
2023-01-12,14:03,38.9,38.6,,,
2023-01-12,14:04,38.9,38.6,,,
2023-01-12,14:05,38.7,38.6,,,
2023-01-12,14:06,38.7,38.5,,,
2023-01-12,14:07,38.7,38.5,,,
2023-01-12,14:08,38.5,38.4,,,
