Company,,University of Waterloo,,Tested by,,
Experiment,,,,Probe ID,,
Ser.-No.,,R511.0129,,Measuring period,,2023-01-12 11:04:00 AM - 2023-01-17 11:05:00 AM
,,,,,,
,,,,,,
,,,,,,
Date,Time,Temp.,Set-,Alarm,Alarm,Alarm
,,,Point,Min.,Max.,Temp.
,,(°C),(°C),(°C),(°C),(°C)
,,,,,,
2023-01-12,11:04,20.0,20.0,,,
2023-01-12,11:05,20.0,20.1,,,
2023-01-12,11:06,20.0,20.3,,,
2023-01-12,11:07,20.0,20.5,,,
2023-01-12,11:08,20.1,20.6,,,
2023-01-12,11:09,20.2,20.8,,,
2023-01-12,11:10,20.2,21.0,,,
2023-01-12,11:11,20.3,21.1,,,
2023-01-12,11:12,20.6,21.3,,,
2023-01-12,11:13,20.7,21.5,,,
2023-01-12,11:14,20.8,21.6,,,
2023-01-12,11:15,21.0,21.8,,,
2023-01-12,11:16,21.2,22.0,,,
2023-01-12,11:17,21.3,22.1,,,
2023-01-12,11:18,21.6,22.3,,,
2023-01-12,11:19,21.7,22.5,,,
2023-01-12,11:20,22.0,22.6,,,
2023-01-12,11:21,22.2,22.8,,,
2023-01-12,11:22,22.2,23.0,,,
2023-01-12,11:23,22.6,23.1,,,
2023-01-12,11:24,22.7,23.3,,,
2023-01-12,11:25,23.0,23.5,,,
2023-01-12,11:26,23.2,23.6,,,
2023-01-12,11:27,23.3,23.8,,,
2023-01-12,11:28,23.6,24.0,,,
2023-01-12,11:29,23.7,24.1,,,
2023-01-12,11:30,24.0,24.3,,,
2023-01-12,11:31,24.2,24.5,,,
2023-01-12,11:32,24.3,24.6,,,
2023-01-12,11:33,24.5,24.8,,,
2023-01-12,11:34,24.7,25.0,,,
2023-01-12,11:35,25.0,25.1,,,
2023-01-12,11:36,25.2,25.3,,,
2023-01-12,11:37,25.2,25.5,,,
2023-01-12,11:38,25.5,25.6,,,
2023-01-12,11:39,25.7,25.8,,,
2023-01-12,11:40,25.8,26.0,,,
2023-01-12,11:41,26.1,26.1,,,
2023-01-12,11:42,26.2,26.3,,,
2023-01-12,11:43,26.3,26.5,,,
2023-01-12,11:44,26.6,26.6,,,
2023-01-12,11:45,26.7,26.8,,,
2023-01-12,11:46,26.8,27.0,,,
2023-01-12,11:47,27.0,27.1,,,
2023-01-12,11:48,27.2,27.3,,,
2023-01-12,11:49,27.5,27.5,,,
2023-01-12,11:50,27.7,27.6,,,
2023-01-12,11:51,27.7,27.8,,,
2023-01-12,11:52,28.0,28.0,,,
2023-01-12,11:53,28.2,28.1,,,
2023-01-12,11:54,28.3,28.3,,,
2023-01-12,11:55,28.5,28.5,,,
2023-01-12,11:56,28.7,28.6,,,
2023-01-12,11:57,28.7,28.8,,,
2023-01-12,11:58,29.0,29.0,,,
2023-01-12,11:59,29.2,29.1,,,
2023-01-12,12:00,29.3,29.3,,,
2023-01-12,12:01,29.5,29.5,,,
2023-01-12,12:02,29.7,29.6,,,
2023-01-12,12:03,29.7,29.8,,,
2023-01-12,12:04,30.0,30.0,,,
2023-01-12,12:05,30.2,30.0,,,
2023-01-12,12:06,30.3,30.0,,,
2023-01-12,12:07,30.5,30.0,,,
2023-01-12,12:08,30.5,30.0,,,
2023-01-12,12:09,30.6,30.0,,,
2023-01-12,12:10,30.5,30.0,,,
2023-01-12,12:11,30.3,30.0,,,
2023-01-12,12:12,30.3,30.0,,,
2023-01-12,12:13,30.2,30.0,,,
2023-01-12,12:14,30.2,30.0,,,
2023-01-12,12:15,30.2,30.0,,,
