Company,,University of Waterloo,,Tested by,,
Experiment,,,,Probe ID,,
Ser.-No.,,R511.0378,,Measuring period,,2021-03-05 1:04:00 PM - 2021-03-10 11:54:00 AM
,,,,,,
,,,,,,
,,,,,,
Date,Time,Temp.,Set-,Alarm,Alarm,Alarm
,,,Point,Min.,Max.,Temp.
,,(°C),(°C),(°C),(°C),(°C)
,,,,,,
2021-03-05,13:04,12.3,20.0,,,
2021-03-05,13:05,12.3,19.9,,,
2021-03-05,13:06,14.1,19.9,,,
2021-03-05,13:07,15.5,19.9,,,
2021-03-05,13:08,16.1,19.8,,,
2021-03-05,13:09,16.8,19.8,,,
2021-03-05,13:10,17.7,19.8,,,
2021-03-05,13:11,18.0,19.8,,,
2021-03-05,13:12,18.3,19.7,,,
2021-03-05,13:13,0.0,19.7,,,
2021-03-05,13:14,19.0,19.7,,,
2021-03-05,13:15,19.1,19.7,,,
2021-03-05,13:16,19.1,19.6,,,
2021-03-05,13:17,19.1,19.6,,,
2021-03-05,13:18,19.1,19.6,,,
2021-03-05,13:19,19.1,19.6,,,
2021-03-05,13:20,19.2,19.5,,,
2021-03-05,13:21,19.2,19.5,,,
2021-03-05,13:22,0.0,19.5,,,
2021-03-05,13:23,19.2,19.4,,,
2021-03-05,13:24,19.2,19.4,,,
2021-03-05,13:25,0.0,19.4,,,
2021-03-05,13:26,19.2,19.4,,,
2021-03-05,13:27,19.2,19.3,,,
2021-03-05,13:28,19.2,19.3,,,
2021-03-05,13:29,19.2,19.3,,,
2021-03-05,13:30,0.0,19.3,,,
2021-03-05,13:31,0.0,19.2,,,
2021-03-05,13:32,19.2,19.2,,,
2021-03-05,13:33,0.0,19.2,,,
2021-03-05,13:34,19.2,19.2,,,
2021-03-05,13:35,19.2,19.1,,,
2021-03-05,13:36,19.2,19.1,,,
2021-03-05,13:37,19.2,19.1,,,
2021-03-05,13:38,0.0,19.0,,,
2021-03-05,13:39,0.0,19.0,,,
2021-03-05,13:40,19.2,19.0,,,
2021-03-05,13:41,19.2,19.0,,,
2021-03-05,13:42,19.2,18.9,,,
2021-03-05,13:43,19.2,18.9,,,
2021-03-05,13:44,19.1,18.9,,,
2021-03-05,13:45,19.1,18.9,,,
2021-03-05,13:46,0.0,18.8,,,
2021-03-05,13:47,19.1,18.8,,,
2021-03-05,13:48,19.0,18.8,,,
2021-03-05,13:49,19.0,18.8,,,
2021-03-05,13:50,19.0,18.7,,,
2021-03-05,13:51,19.0,18.7,,,
2021-03-05,13:52,18.8,18.7,,,
2021-03-05,13:53,18.8,18.6,,,
2021-03-05,13:54,0.0,18.6,,,
2021-03-05,13:55,18.7,18.6,,,
2021-03-05,13:56,18.7,18.6,,,
2021-03-05,13:57,18.7,18.5,,,
2021-03-05,13:58,18.7,18.5,,,
2021-03-05,13:59,18.7,18.5,,,
2021-03-05,14:00,18.7,18.5,,,
2021-03-05,14:01,18.7,18.4,,,
2021-03-05,14:02,18.7,18.4,,,
2021-03-05,14:03,18.6,18.4,,,
2021-03-05,14:04,18.6,18.4,,,
2021-03-05,14:05,18.6,18.3,,,
2021-03-05,14:06,18.5,18.3,,,
2021-03-05,14:07,18.5,18.3,,,
2021-03-05,14:08,18.5,18.3,,,
2021-03-05,14:09,18.3,18.3,,,
2021-03-05,14:10,0.0,18.3,,,
2021-03-05,14:11,0.0,18.2,,,
2021-03-05,14:12,18.3,18.2,,,
2021-03-05,14:13,18.3,18.2,,,
2021-03-05,14:14,18.2,18.2,,,
2021-03-05,14:15,18.2,18.2,,,
2021-03-05,14:16,18.2,18.2,,,
2021-03-05,14:17,0.0,18.1,,,
2021-03-05,14:18,0.0,18.1,,,
2021-03-05,14:19,18.2,18.1,,,
2021-03-05,14:20,18.2,18.1,,,
2021-03-05,14:21,18.2,18.1,,,
2021-03-05,14:22,18.1,18.1,,,
2021-03-05,14:23,18.1,18.0,,,
2021-03-05,14:24,18.1,18.0,,,
2021-03-05,14:25,18.1,18.0,,,
2021-03-05,14:26,0.0,18.0,,,
2021-03-05,14:27,0.0,18.0,,,
2021-03-05,14:28,18.0,18.0,,,
2021-03-05,14:29,18.0,17.9,,,
2021-03-05,14:30,18.0,17.9,,,
2021-03-05,14:31,18.0,17.9,,,
2021-03-05,14:32,17.8,17.9,,,
2021-03-05,14:33,17.8,17.9,,,
2021-03-05,14:34,17.8,17.9,,,
2021-03-05,14:35,0.0,17.8,,,
2021-03-05,14:36,0.0,17.8,,,
2021-03-05,14:37,17.7,17.8,,,
2021-03-05,14:38,0.0,17.8,,,
2021-03-05,14:39,17.7,17.8,,,
2021-03-05,14:40,17.7,17.8,,,
2021-03-05,14:41,17.7,17.7,,,
2021-03-05,14:42,17.7,17.7,,,
2021-03-05,14:43,17.7,17.7,,,
2021-03-05,14:44,17.7,17.7,,,
2021-03-05,14:45,17.7,17.7,,,
2021-03-05,14:46,17.7,17.7,,,
2021-03-05,14:47,0.0,17.6,,,
2021-03-05,14:48,17.7,17.6,,,
2021-03-05,14:49,17.7,17.6,,,
2021-03-05,14:50,17.6,17.6,,,
2021-03-05,14:51,0.0,17.6,,,
2021-03-05,14:52,17.6,17.6,,,
2021-03-05,14:53,17.6,17.5,,,
2021-03-05,14:54,17.6,17.5,,,
2021-03-05,14:55,0.0,17.5,,,
2021-03-05,14:56,17.5,17.5,,,
2021-03-05,14:57,17.5,17.5,,,
2021-03-05,14:58,17.5,17.5,,,
2021-03-05,14:59,17.5,17.4,,,
2021-03-05,15:00,0.0,17.4,,,
2021-03-05,15:01,17.3,17.4,,,
2021-03-05,15:02,17.3,17.4,,,
2021-03-05,15:03,17.3,17.4,,,
2021-03-05,15:04,17.3,17.4,,,
2021-03-05,15:05,0.0,17.3,,,
2021-03-05,15:06,17.3,17.3,,,
2021-03-05,15:07,17.3,17.3,,,
2021-03-05,15:08,0.0,17.3,,,
2021-03-05,15:09,0.0,17.3,,,
2021-03-05,15:10,17.2,17.3,,,
2021-03-05,15:11,17.2,17.3,,,
2021-03-05,15:12,17.2,17.3,,,
2021-03-05,15:13,0.0,17.3,,,
2021-03-05,15:14,17.2,17.3,,,
2021-03-05,15:15,17.2,17.3,,,
2021-03-05,15:16,17.2,17.3,,,
2021-03-05,15:17,17.2,17.3,,,
2021-03-05,15:18,17.2,17.3,,,
2021-03-05,15:19,0.0,17.3,,,
2021-03-05,15:20,17.2,17.3,,,
2021-03-05,15:21,17.2,17.3,,,
2021-03-05,15:22,0.0,17.3,,,
2021-03-05,15:23,0.0,17.3,,,
2021-03-05,15:24,0.0,17.3,,,
2021-03-05,15:25,0.0,17.3,,,
2021-03-05,15:26,0.0,17.3,,,
2021-03-05,15:27,0.0,17.3,,,
2021-03-05,15:28,0.0,17.3,,,
2021-03-05,15:29,0.0,17.3,,,
2021-03-05,15:30,0.0,17.3,,,
2021-03-05,15:31,0.0,17.3,,,
2021-03-05,15:32,0.0,17.3,,,
2021-03-05,15:33,0.0,17.3,,,
2021-03-05,15:34,0.0,17.3,,,
2021-03-05,15:35,0.0,17.3,,,
2021-03-05,15:36,0.0,17.3,,,
2021-03-05,15:37,0.0,17.3,,,
2021-03-05,15:38,0.0,17.3,,,
2021-03-05,15:39,0.0,17.3,,,
2021-03-05,15:40,0.0,17.3,,,
2021-03-05,15:41,0.0,17.3,,,
