"auto_0","auto_0.58","auto_0.95","auto_0.95rev"
273,253,274,280
273,234,271,273
226,283,272,288
310,238,278,273
300,260,276,276
301,244,283,280
294,260,285,279
312,230,275,270
280,259,273,269
266,237,275,256
275,263,280,238
265,289,273,246
230,272,266,260
261,276,265,271
242,266,271,266
293,296,267,255
301,274,260,263
223,263,263,261
266,247,261,260
238,270,259,251
271,271,271,260
260,274,269,261
295,234,260,245
276,246,269,247
289,243,270,253
269,235,282,234
234,242,280,235
300,234,300,235
287,226,323,237
268,237,323,234
288,234,305,242
261,249,298,243
270,230,296,249
247,286,286,231
275,273,293,226
249,260,295,220
323,281,289,229
269,275,293,230
271,279,296,229
234,240,314,223
286,242,310,230
273,261,301,234
303,261,310,234
321,271,308,233
237,245,312,244
230,300,321,237
253,270,310,238
305,260,305,242
235,284,302,234
279,293,285,240
251,288,284,253
282,310,284,261
296,238,287,265
310,271,288,269
308,235,279,268
260,269,294,271
269,293,294,274
278,276,300,281
233,261,303,291
260,273,301,305
293,301,305,301
238,302,291,303
229,279,281,300
281,275,274,294
242,305,271,294
255,278,268,279
263,280,269,288
260,251,265,287
285,269,261,284
284,287,253,284
235,285,240,285
305,261,234,302
260,273,242,305
261,282,238,310
253,284,237,321
229,291,244,312
261,268,233,308
285,256,234,310
269,266,234,301
246,267,230,310
267,294,223,314
259,288,229,296
245,305,230,293
314,305,229,289
240,280,220,295
220,260,226,293
271,308,231,286
280,323,249,296
310,312,243,298
234,321,242,305
244,300,234,323
273,323,237,323
265,310,235,300
291,298,235,280
243,301,234,282
296,269,253,270
305,271,247,269
323,310,245,260
272,265,261,269
279,280,260,271
234,295,251,259
256,285,260,261
294,273,261,263
274,265,263,260
263,280,255,267
280,303,266,271
276,296,271,265
284,271,260,266
234,314,246,273
283,294,238,280
302,255,256,275
271,269,269,273
231,233,270,275
274,229,279,285
271,229,280,283
280,231,276,276
237,220,273,278
288,223,288,272
298,234,273,271
270,253,280,274
