"auto_0","auto_0.57","auto_0.95","auto_0.95rev"
284,255,222,284
218,249,198,282
189,256,232,268
268,276,201,245
306,237,188,246
284,305,189,253
306,222,194,256
332,187,201,264
178,178,211,284
320,194,241,313
232,277,206,309
209,193,211,305
351,284,232,332
270,271,205,337
315,243,191,330
294,268,187,340
321,320,178,344
363,308,179,351
216,296,187,363
211,338,193,346
345,318,201,357
249,216,223,359
262,264,228,359
256,289,226,345
246,305,209,338
289,304,221,338
321,226,235,340
261,304,233,342
331,282,233,331
258,216,243,333
318,232,249,318
243,206,261,320
357,270,285,314
300,314,296,279
191,340,308,270
277,344,300,277
235,235,289,294
314,270,315,258
198,233,300,266
237,230,277,246
305,231,245,230
305,245,270,237
231,280,280,218
320,294,262,231
221,309,277,216
193,330,291,195
285,268,305,216
223,306,336,235
237,232,332,235
226,228,320,218
344,314,305,228
340,320,306,246
359,266,295,237
253,195,302,268
330,241,321,280
333,198,321,255
232,300,304,276
187,333,294,271
305,321,305,304
338,321,314,306
228,337,306,314
216,302,304,305
205,262,271,294
188,277,276,304
337,211,255,321
245,218,280,321
340,179,268,302
280,201,237,295
206,284,246,306
187,346,228,305
300,331,218,320
266,315,235,332
264,300,235,336
179,279,216,305
246,205,195,291
277,189,216,277
277,221,231,262
338,235,218,280
342,306,237,270
233,295,230,245
194,305,246,277
270,228,266,300
246,223,258,315
276,277,294,289
255,258,277,300
222,253,270,308
218,246,279,296
304,246,314,285
332,201,320,261
271,209,318,249
195,305,333,243
314,280,331,233
201,313,342,233
211,285,340,235
201,246,338,221
296,294,338,209
279,342,345,226
268,359,359,228
305,261,359,223
282,237,357,201
233,201,346,193
309,235,363,187
291,218,351,179
245,188,344,178
294,191,340,187
235,211,330,191
336,332,337,205
235,338,332,232
228,291,305,211
241,340,309,206
304,345,313,241
230,332,284,211
280,336,264,201
295,359,256,194
346,357,253,189
308,363,246,188
313,351,245,201
359,245,268,232
201,187,282,198
302,233,284,222
