"auto_0","auto_0.58","auto_0.95","auto_0.95rev"
257,272,279,261
275,254,265,257
246,262,283,258
278,291,291,252
300,291,282,246
269,280,278,245
251,315,273,245
230,311,279,246
270,279,278,237
286,260,286,244
285,255,280,243
302,235,285,243
235,244,291,236
273,237,282,245
246,263,289,251
304,231,277,256
259,225,268,250
226,242,279,242
237,245,283,237
222,230,270,232
257,222,275,231
282,223,272,242
300,240,269,241
236,244,254,244
309,245,255,226
280,258,262,223
275,256,246,222
251,291,255,225
282,310,269,230
250,309,262,235
291,304,260,233
272,246,267,226
248,226,279,240
244,226,284,236
283,237,291,246
298,232,297,250
291,236,299,248
289,275,300,251
297,304,297,256
242,307,293,268
265,316,289,267
297,297,295,257
316,283,291,263
258,262,304,262
267,250,309,259
260,269,316,256
279,248,311,256
255,313,313,266
278,295,305,270
242,299,308,275
261,266,310,290
283,298,309,279
231,297,307,292
313,300,298,297
279,275,300,291
282,257,298,296
245,291,315,282
262,246,304,278
279,279,302,291
246,291,304,305
291,250,305,304
307,282,291,302
267,298,278,304
304,273,282,315
268,289,296,298
277,242,291,300
289,241,297,298
292,236,292,307
278,283,279,309
250,289,290,310
245,302,275,308
233,286,270,305
268,284,266,313
291,261,256,311
223,243,256,316
243,278,259,309
241,305,262,304
246,296,263,291
297,251,257,295
270,245,267,289
279,265,268,293
308,297,256,297
290,278,251,300
252,270,248,299
226,256,250,297
291,304,246,291
311,279,236,284
299,252,240,279
279,259,226,267
284,267,233,260
256,243,235,262
293,291,230,269
240,277,225,255
244,279,222,246
305,267,223,262
237,268,226,255
263,251,244,254
256,256,241,269
245,285,242,272
305,309,231,275
262,269,232,270
315,290,237,283
243,308,242,279
304,293,250,268
266,300,256,277
232,305,251,289
309,292,245,282
298,246,236,291
255,233,243,285
295,282,243,280
310,279,244,286
262,282,237,278
269,278,246,279
254,268,245,273
225,246,245,278
291,255,246,282
256,256,252,291
236,270,258,283
256,262,257,265
296,257,261,279
