"auto_0","auto_0.55","auto_0.95","auto_0.95rev"
236,285,306,199
224,261,322,230
201,332,332,260
209,259,331,275
227,281,336,265
267,336,324,281
191,321,333,259
319,325,344,258
225,276,347,236
258,233,345,237
214,204,341,263
332,313,331,244
252,342,333,261
187,228,312,237
259,211,336,230
327,343,343,219
204,341,348,202
292,331,342,223
321,314,319,227
325,309,314,201
191,279,292,191
237,281,292,194
211,332,285,183
265,267,279,182
189,217,270,191
342,202,276,189
321,223,265,198
313,209,250,214
230,191,249,228
228,229,236,224
321,244,233,230
276,263,229,264
309,265,225,267
182,258,239,271
249,279,228,249
322,322,221,252
237,321,194,276
197,336,211,279
341,312,209,274
321,198,204,284
285,194,217,306
305,228,182,309
336,260,182,321
312,187,181,321
261,236,187,321
233,230,182,320
221,221,197,327
309,306,241,321
198,297,247,309
285,237,281,313
308,247,300,320
275,236,307,325
297,312,317,297
219,265,324,305
241,331,312,293
306,344,296,296
230,321,286,308
249,239,285,332
286,194,303,340
333,300,302,309
284,309,309,302
281,303,340,303
302,345,332,285
265,348,308,286
274,347,296,296
324,333,293,312
293,319,305,324
296,307,297,317
343,321,325,307
217,292,320,300
347,293,313,281
320,230,309,247
230,284,321,241
250,320,327,197
306,320,320,182
264,285,321,187
270,317,321,181
344,309,321,182
223,324,309,182
331,252,306,217
182,270,284,204
340,274,274,209
324,182,279,211
333,292,276,194
281,230,252,221
331,237,249,228
260,275,271,239
199,296,267,225
314,286,264,229
194,308,230,233
181,340,224,236
317,327,228,249
182,306,214,250
194,189,198,265
279,241,189,276
348,271,191,270
228,201,182,279
236,225,183,285
345,182,194,292
296,181,191,292
247,199,201,314
300,276,227,319
271,296,223,342
312,214,202,348
320,191,219,343
276,219,230,336
263,183,237,312
309,197,261,333
244,224,244,331
183,324,263,341
182,333,237,345
229,302,236,347
279,249,258,344
202,250,259,333
307,249,281,324
332,305,265,336
336,264,275,331
239,182,260,332
303,182,230,322
292,227,199,306
