"auto_0","auto_0.6","auto_0.95","auto_0.95rev"
308,280,305,239
348,331,307,216
245,298,343,218
253,324,345,227
262,291,348,232
245,186,345,244
336,243,335,242
291,297,335,237
306,348,351,204
224,351,348,212
276,286,351,211
300,300,352,216
233,308,348,214
191,266,343,213
320,245,351,222
223,191,318,209
239,254,316,223
280,216,298,210
345,232,286,196
335,253,284,243
214,251,287,245
182,256,300,245
312,245,306,217
198,348,342,218
244,345,312,222
217,318,303,239
312,343,320,224
338,296,297,233
190,288,280,232
186,318,294,209
211,270,266,183
270,213,270,178
245,238,272,182
281,335,286,184
230,294,305,186
232,294,336,182
348,316,331,190
342,322,315,198
204,336,322,191
318,345,318,186
345,351,301,204
186,338,331,230
296,223,338,252
307,184,324,245
254,218,312,253
318,237,320,254
292,230,322,256
227,312,319,240
315,318,318,251
335,272,316,238
288,322,294,254
213,320,277,253
255,239,296,268
286,281,292,262
297,254,291,265
265,305,296,254
348,204,308,266
209,222,297,281
268,245,288,255
296,212,258,276
286,214,276,258
294,211,255,288
204,186,281,297
222,190,266,308
266,233,254,296
266,216,265,291
232,222,262,292
212,217,268,296
301,218,253,277
352,209,254,294
256,240,238,316
316,239,251,318
252,292,240,319
209,265,256,322
183,252,254,320
305,303,253,312
216,227,245,324
258,182,252,338
196,183,230,331
251,209,204,301
178,305,186,318
242,316,191,322
322,352,198,315
320,342,190,331
222,306,182,336
287,284,186,305
210,319,184,286
351,296,182,272
331,307,178,270
254,351,183,266
238,343,209,294
243,210,232,280
318,198,233,297
218,276,224,320
218,315,239,303
237,331,222,312
322,268,218,342
277,348,217,306
343,335,245,300
239,262,245,287
272,320,243,284
351,286,196,286
253,204,210,298
182,242,223,316
298,258,209,318
303,253,222,351
331,255,213,343
184,254,214,348
284,196,216,352
305,182,211,351
316,178,212,348
254,224,204,351
216,277,237,335
319,312,242,335
324,297,244,345
343,266,232,348
240,244,227,345
351,301,218,343
294,232,216,307
297,287,239,305
