"auto_0","auto_0.56","auto_0.95","auto_0.95rev"
249,268,277,249
222,291,269,251
242,269,277,240
226,270,279,231
291,243,266,232
315,240,285,238
287,253,268,234
251,238,268,249
277,315,267,243
273,268,271,242
246,244,256,244
296,251,252,248
287,251,251,238
240,231,250,230
305,222,251,226
269,229,259,226
316,230,256,222
245,242,261,229
268,277,270,245
259,278,277,242
238,255,273,240
267,253,287,243
297,235,309,234
278,232,306,237
252,246,299,235
307,255,294,231
261,281,304,240
275,276,292,247
299,247,292,268
299,297,305,255
256,259,307,269
263,271,312,259
276,282,305,265
312,267,286,268
283,266,282,268
251,307,276,251
313,285,264,252
288,288,268,252
252,249,278,253
293,237,284,249
292,250,288,246
297,234,293,255
232,251,296,255
251,278,287,264
286,313,299,253
234,292,291,259
255,313,289,263
249,316,291,262
268,313,285,271
264,291,288,275
251,245,297,278
259,249,291,284
277,290,297,283
282,255,313,281
269,252,315,290
317,288,316,291
291,277,313,286
268,306,315,297
229,309,313,299
240,284,317,307
255,292,307,317
253,268,299,313
313,291,297,315
286,268,286,313
235,252,291,316
288,264,290,315
250,256,281,313
294,297,283,297
234,262,284,291
277,248,278,297
230,268,275,288
281,286,271,285
297,251,262,291
313,271,263,289
247,297,259,291
242,259,253,299
266,238,264,287
309,231,255,296
226,226,255,293
284,240,246,288
299,240,249,284
284,263,253,278
259,269,252,268
253,299,252,264
244,305,251,276
315,294,268,282
231,268,268,286
231,279,265,305
307,256,259,312
265,283,269,307
268,304,255,305
252,305,268,292
248,299,247,292
262,259,240,304
256,291,231,294
270,315,235,299
291,317,237,306
278,286,234,309
289,285,243,287
243,296,240,273
271,249,242,277
268,226,245,270
268,242,229,261
306,252,222,256
290,234,226,259
285,243,226,251
305,277,230,250
285,287,238,251
291,293,248,252
264,289,244,256
292,261,242,271
243,275,243,267
279,273,249,268
249,287,234,268
238,312,238,285
271,264,232,266
240,265,231,279
255,284,240,277
237,299,251,269
304,307,249,277
