"auto_0","auto_0.57","auto_0.95","auto_0.95rev"
255,291,311,308
196,272,311,287
287,319,287,265
313,216,282,313
286,280,278,341
318,246,280,325
319,347,261,321
192,360,255,313
321,353,237,313
322,313,240,330
211,271,252,309
205,318,243,319
219,324,272,330
265,239,275,303
217,231,286,319
246,202,276,302
193,211,269,291
193,213,245,333
336,226,240,353
217,338,219,360
313,353,219,353
290,333,230,341
330,312,217,324
353,234,211,331
330,206,193,347
238,286,192,340
312,258,215,342
226,292,221,312
198,319,239,313
226,316,238,312
227,324,223,297
291,341,226,292
338,261,226,290
353,302,239,322
243,341,257,333
247,340,250,338
231,342,226,334
331,283,233,337
341,319,234,324
234,238,231,283
324,223,227,315
282,324,216,324
272,265,216,336
213,330,214,319
245,219,207,316
319,337,194,350
240,276,198,318
202,287,211,326
219,217,211,321
206,233,205,290
256,275,206,271
325,313,202,258
254,240,193,246
230,240,199,254
223,297,213,256
239,309,188,257
240,325,193,247
287,290,215,231
333,321,194,217
237,313,196,211
308,312,211,196
215,322,217,194
302,287,231,215
207,215,247,193
313,205,257,188
312,215,256,213
276,245,254,199
211,239,246,193
231,199,258,202
311,192,271,206
215,254,290,205
340,303,321,211
233,226,326,211
280,257,318,198
258,282,350,194
194,247,316,207
334,250,319,214
337,333,336,216
324,255,324,216
283,269,315,227
257,331,283,231
303,330,324,234
342,350,337,233
319,278,334,226
275,290,338,250
221,237,333,257
194,211,322,239
257,227,290,226
250,226,292,226
326,211,297,223
211,257,312,238
278,193,313,239
216,198,312,221
324,214,342,215
269,230,340,192
313,311,347,193
252,321,331,211
316,311,324,217
226,326,341,230
350,313,353,219
188,256,360,219
311,231,353,240
292,308,333,245
321,334,291,269
341,336,302,276
315,315,319,286
271,221,303,275
216,216,330,272
297,252,319,243
199,243,309,252
333,196,330,240
239,217,313,237
309,193,313,255
360,188,321,261
214,194,325,280
193,194,341,278
290,219,313,282
347,211,265,287
211,193,287,311
261,207,308,311
