"auto_0","auto_0.6","auto_0.95","auto_0.95rev"
254,274,290,228
274,325,281,245
326,254,270,217
270,216,300,227
342,274,302,233
341,332,301,241
225,337,275,224
323,302,295,219
325,311,281,208
185,270,279,223
208,245,287,246
269,323,302,253
192,323,313,229
245,261,294,239
246,196,309,225
344,252,322,207
330,309,322,200
325,281,337,204
194,261,323,207
227,294,326,205
217,315,338,207
329,326,343,201
338,208,344,199
209,281,342,199
261,239,354,196
326,287,354,191
354,320,348,179
270,354,353,194
302,353,354,193
199,253,357,189
345,207,345,192
301,200,325,181
201,193,320,185
354,245,313,215
181,281,321,231
353,217,323,209
205,258,325,217
321,199,315,216
315,192,321,234
310,185,326,245
274,181,337,232
295,201,329,261
229,283,341,283
229,313,330,272
232,228,332,269
343,199,318,274
207,241,296,300
290,275,310,306
207,239,308,284
253,246,311,258
252,217,262,239
300,269,267,229
302,205,264,272
313,179,270,261
207,233,283,245
241,225,263,252
245,262,252,281
281,325,227,274
252,322,253,254
252,357,252,261
239,354,261,252
224,343,254,253
189,348,274,227
258,326,281,252
275,302,252,263
284,341,245,283
204,300,261,270
272,321,272,264
322,310,229,267
217,263,239,262
318,284,258,311
219,219,284,308
227,267,306,310
245,234,300,296
264,189,274,318
354,204,269,332
308,215,272,330
309,252,283,341
261,342,261,329
281,329,232,337
287,296,245,326
262,283,234,321
179,322,216,315
216,337,217,325
300,290,209,323
267,270,231,321
200,295,215,313
313,261,185,320
321,264,181,325
337,229,192,345
283,227,189,357
234,191,193,354
261,209,194,353
323,245,179,348
239,253,191,354
233,308,196,354
283,227,199,342
215,272,199,344
191,313,201,343
199,354,207,338
337,344,205,326
320,300,207,323
253,194,204,337
263,223,200,322
311,207,207,322
306,272,225,309
294,207,239,294
228,229,229,313
348,224,253,302
272,252,246,287
296,232,223,279
357,345,208,281
279,330,219,295
322,279,224,275
231,231,241,301
223,306,233,302
332,338,227,300
281,301,217,270
196,321,245,281
193,318,228,290
