"auto_0","auto_0.61","auto_0.95","auto_0.95rev"
296,290,280,285
304,313,278,278
247,299,267,269
287,293,276,265
254,271,275,269
262,234,267,268
243,241,268,276
280,247,258,278
306,280,268,281
233,269,261,284
296,250,256,290
288,269,262,284
318,281,271,292
281,304,268,281
234,307,256,285
269,290,251,280
286,271,245,289
216,285,262,297
245,281,249,305
296,281,254,308
308,287,250,310
298,275,250,313
278,233,247,314
261,292,250,318
244,310,256,306
268,314,242,305
266,293,245,293
265,284,247,296
298,288,244,293
268,287,242,290
260,298,234,295
261,292,241,286
251,296,231,288
297,242,211,283
267,262,229,291
242,297,233,294
240,303,241,296
290,267,240,296
280,268,246,299
265,276,245,296
222,290,255,307
231,254,238,309
240,261,240,304
280,258,233,303
307,280,221,292
276,281,209,298
249,249,216,287
294,262,222,281
295,257,229,281
284,242,234,280
256,268,243,287
309,278,261,284
221,278,265,280
250,296,257,278
278,305,262,290
310,229,247,300
238,250,260,298
281,231,265,283
262,268,266,271
287,267,271,275
256,265,275,271
262,229,271,266
275,240,283,265
233,265,298,260
299,280,300,247
271,291,290,262
278,262,278,257
283,278,280,265
303,222,284,261
242,221,287,243
250,243,280,234
291,256,281,229
255,284,281,222
256,286,287,216
314,283,298,209
241,289,292,221
268,295,303,233
281,251,304,240
284,234,309,238
268,245,307,255
229,244,296,245
211,256,299,246
283,296,296,240
229,280,296,241
258,275,294,233
241,308,291,229
293,306,283,211
245,309,288,231
305,318,286,241
292,300,295,234
247,283,290,242
271,245,293,244
267,245,296,247
281,246,293,245
245,294,305,242
247,278,306,256
280,240,318,250
271,216,314,247
296,250,313,250
265,256,310,250
257,255,308,254
290,260,305,249
269,247,297,262
285,268,289,245
234,247,280,251
300,241,285,256
290,233,281,268
246,209,292,271
305,211,284,262
275,238,290,256
293,261,284,261
292,265,281,268
285,296,278,258
313,305,276,268
289,298,268,267
284,276,269,275
276,284,265,276
278,271,269,267
250,285,278,278
209,266,285,280
