"auto_0","auto_0.6","auto_0.95","auto_0.95rev"
273,302,264,313
288,212,233,307
220,247,238,298
248,269,254,288
254,227,247,299
312,304,244,293
273,247,261,302
358,207,260,287
303,220,266,319
335,210,304,305
259,234,296,305
235,279,273,310
196,289,235,309
319,298,242,311
207,328,237,321
304,275,234,312
311,218,219,338
192,303,247,348
216,281,210,348
256,266,215,352
272,309,212,345
218,223,223,349
247,312,215,358
226,358,220,348
218,341,208,343
247,307,185,341
321,273,192,342
264,288,180,344
212,215,174,342
194,192,170,322
279,201,168,322
269,278,184,336
232,219,207,328
305,261,212,319
338,242,177,335
219,280,196,337
275,248,197,336
337,264,194,338
342,287,201,325
265,235,213,307
269,296,218,278
213,319,218,289
352,344,235,279
328,305,226,265
238,325,238,299
266,342,216,289
298,348,239,276
276,319,253,280
235,208,250,264
296,170,259,269
261,238,248,227
227,311,248,232
310,265,256,221
237,336,273,241
289,305,281,259
197,264,284,275
238,311,295,281
264,348,291,269
241,337,303,272
313,241,311,304
281,185,304,311
221,272,272,303
168,269,269,291
212,284,281,295
348,299,275,284
342,289,259,281
250,254,241,273
289,304,221,256
343,343,232,248
260,336,227,248
185,349,269,259
325,352,264,250
307,342,280,253
338,293,276,239
299,321,289,216
299,338,299,238
344,335,265,226
215,313,279,235
278,322,289,218
174,348,278,218
295,322,307,213
201,299,325,201
319,233,338,194
336,253,336,197
322,168,337,196
233,177,335,177
287,174,319,212
234,250,328,207
170,281,336,184
259,273,322,168
293,213,322,170
305,218,342,174
239,244,344,180
302,295,342,192
348,256,341,185
208,232,343,208
349,215,348,220
322,345,358,215
242,338,349,223
341,276,345,212
244,307,352,215
291,291,348,210
177,310,348,247
311,259,338,219
253,235,312,234
307,197,321,237
345,212,311,242
184,184,309,235
336,260,310,273
280,221,305,296
215,226,305,304
223,196,319,266
210,216,287,260
248,180,302,261
180,238,293,244
304,259,299,247
281,237,288,254
284,194,298,238
348,248,307,233
309,239,313,264
