"auto_0","auto_0.61","auto_0.95","auto_0.95rev"
263,263,262,218
219,255,252,219
249,286,254,224
305,230,251,230
296,224,248,230
286,238,249,241
307,244,263,231
219,242,255,233
261,241,262,242
318,258,264,236
256,289,258,230
258,318,265,219
230,321,262,223
263,280,256,224
266,282,243,234
243,263,247,238
318,236,247,247
267,219,244,254
233,256,256,250
307,263,262,261
254,251,263,265
278,254,268,268
272,292,274,270
223,256,274,278
252,247,278,280
247,266,287,279
274,265,280,285
267,248,282,286
280,252,282,275
256,281,279,287
236,307,276,291
287,291,274,286
287,305,274,289
262,276,281,292
276,256,276,295
286,272,270,296
276,286,267,300
244,274,270,300
256,274,267,304
231,247,266,309
253,265,265,304
308,270,263,307
234,262,253,303
303,224,253,307
218,231,258,318
300,234,260,322
285,260,254,307
265,267,258,307
265,261,257,305
291,258,248,308
295,270,256,304
302,243,266,305
307,264,263,307
224,274,267,318
254,268,268,321
263,278,263,302
278,263,268,305
268,230,272,301
286,230,278,296
257,268,286,289
262,289,289,286
263,274,296,278
242,266,301,272
268,258,305,268
247,268,302,263
260,278,321,268
278,253,318,267
224,267,307,263
251,308,305,266
263,307,304,256
282,296,308,248
322,300,305,257
270,307,307,258
281,301,307,254
270,302,322,260
241,262,318,258
274,223,307,253
289,278,303,253
274,286,307,263
258,287,304,265
275,279,309,266
258,307,304,267
307,280,300,270
301,276,300,267
307,300,296,270
264,305,295,276
282,268,292,281
230,262,289,274
289,282,286,274
305,318,291,276
238,307,287,279
262,304,275,282
309,304,286,282
262,305,285,280
265,265,279,287
300,247,280,278
296,262,278,274
304,253,270,274
270,218,268,268
267,249,265,263
274,254,261,262
268,257,250,256
250,279,254,244
279,296,247,247
321,309,238,247
304,295,234,243
266,322,224,256
280,287,223,262
305,303,219,265
230,304,230,258
279,267,236,264
253,250,242,262
255,219,233,255
248,248,231,263
254,254,241,249
268,270,230,248
248,263,230,251
247,275,224,254
304,285,219,252
292,233,218,262
