"auto_0","auto_0.58","auto_0.95","auto_0.95rev"
297,256,279,297
299,232,269,300
284,240,283,300
263,269,284,310
310,235,281,307
276,224,270,299
271,239,268,310
240,268,263,313
253,244,270,312
294,228,280,310
258,281,279,296
271,270,266,294
227,257,253,309
228,291,254,315
277,294,260,309
255,228,266,305
291,237,259,301
305,245,268,284
309,253,253,280
277,277,254,279
252,279,258,269
256,289,256,276
296,249,249,297
220,268,247,302
260,279,242,296
236,310,239,314
279,313,229,313
243,314,222,299
281,279,232,289
280,266,235,290
248,277,220,284
300,254,228,278
266,262,224,272
283,276,227,266
299,258,228,276
276,241,226,277
229,240,234,274
253,263,234,270
289,229,237,270
253,259,236,271
281,277,237,277
296,280,244,276
266,284,241,289
249,309,240,297
270,315,240,288
240,274,243,289
307,236,245,284
235,253,240,291
237,227,240,291
289,237,247,307
234,247,259,279
313,234,255,270
263,240,252,277
266,279,248,277
224,270,246,282
222,284,256,281
228,289,253,271
241,291,257,277
247,240,262,277
270,254,263,276
300,270,276,263
239,284,277,262
284,312,277,257
284,307,271,253
291,302,281,256
270,296,282,246
272,310,277,248
276,299,277,252
232,283,270,255
269,282,279,259
290,276,307,247
277,266,291,240
245,276,291,240
268,263,284,245
256,307,289,243
270,297,288,240
234,313,297,240
278,309,289,241
279,284,276,244
269,222,277,237
259,266,271,236
254,288,270,237
242,297,270,234
302,289,274,234
268,276,277,226
276,305,276,228
277,280,266,227
315,260,272,224
244,256,278,228
301,271,284,220
226,272,290,235
288,269,289,232
277,247,299,222
307,246,313,229
297,255,314,239
274,234,296,242
313,220,302,247
310,226,297,249
270,277,276,256
277,259,269,258
237,253,279,254
262,248,280,253
240,252,284,268
310,270,301,259
289,278,305,266
309,271,309,260
247,243,315,254
314,296,309,253
279,270,294,266
246,277,296,279
240,300,310,280
297,299,312,270
279,281,313,263
280,301,310,268
282,297,299,270
284,277,307,281
254,290,310,284
312,310,300,283
257,300,300,269
259,242,297,279
