"auto_0","auto_0.59","auto_0.95","auto_0.95rev"
251,257,229,262
254,217,231,262
248,304,226,270
328,284,213,291
302,213,236,291
214,308,214,252
310,344,207,245
266,277,228,257
217,271,217,266
331,210,237,249
344,196,243,284
213,199,226,251
262,226,248,226
329,268,277,212
249,331,249,210
316,329,260,202
344,335,250,199
294,328,257,215
245,306,268,222
193,317,278,225
236,319,282,218
291,318,282,208
284,302,283,199
225,310,302,208
182,270,308,196
335,268,317,201
294,254,317,209
329,198,344,200
317,279,357,192
185,302,355,198
243,294,331,191
319,355,335,185
207,308,351,185
303,294,319,185
341,320,310,182
310,337,335,193
185,320,328,209
257,281,318,213
196,214,328,229
208,300,326,224
317,202,348,260
218,209,352,279
308,199,359,284
229,182,338,281
304,185,311,271
277,191,342,254
352,185,341,268
226,218,337,268
311,317,320,271
249,283,310,281
260,236,344,300
212,243,329,301
209,222,328,303
200,266,308,294
278,260,306,288
328,301,316,294
282,351,311,304
208,271,320,301
237,225,329,301
320,226,302,308
300,310,308,302
357,348,301,329
270,359,301,320
301,335,304,311
337,250,294,316
191,229,288,306
355,249,294,308
281,282,303,328
291,328,301,329
252,328,300,344
328,237,281,310
192,215,271,320
306,207,268,337
301,326,268,341
268,342,254,342
199,344,271,311
335,311,281,338
201,288,284,359
209,301,279,352
260,303,260,348
198,257,224,326
257,301,229,328
210,291,213,318
302,262,209,328
288,341,193,335
271,329,182,310
229,252,185,319
283,200,185,351
231,208,185,335
301,281,191,331
226,201,198,355
202,245,192,357
213,228,200,344
199,284,209,317
318,357,201,317
281,311,196,308
222,229,208,302
185,209,199,283
271,208,208,282
215,278,218,282
279,224,225,278
342,248,222,268
284,185,215,257
268,192,199,250
308,193,202,260
311,213,210,249
338,226,212,277
308,268,226,248
262,231,251,226
250,212,284,243
359,251,249,237
226,282,266,217
282,249,257,228
351,316,245,207
348,308,252,214
326,262,291,236
224,260,291,213
268,291,270,226
228,352,262,231
320,338,262,229
