"auto_0","auto_0.6","auto_0.95","auto_0.95rev"
402,385,340,356
327,377,360,354
368,392,368,369
397,390,364,372
366,413,350,374
332,392,354,368
385,379,366,374
357,362,369,379
346,375,379,362
374,368,383,363
337,369,382,371
382,328,379,379
374,327,377,387
385,357,375,386
363,374,374,385
374,389,370,392
336,385,369,389
412,342,353,396
401,349,353,397
402,348,341,405
408,343,349,412
329,392,342,402
393,404,346,401
338,408,349,395
340,385,351,395
383,395,349,395
386,349,347,393
405,347,338,399
349,356,332,402
362,338,329,406
392,366,328,401
377,379,336,403
343,388,338,408
409,370,327,411
369,403,347,413
408,386,323,408
349,323,323,408
379,323,323,409
411,323,323,405
353,374,328,404
403,332,335,404
389,337,355,400
395,387,363,396
392,362,357,403
370,368,348,396
364,358,352,388
377,341,343,390
335,335,337,392
371,339,349,389
399,347,351,392
401,336,336,387
355,343,337,385
404,363,342,377
368,401,339,368
395,369,343,374
323,396,362,358
354,400,363,368
363,412,362,377
342,405,376,379
338,379,385,385
385,351,385,385
396,379,379,376
405,401,377,362
358,382,368,363
389,396,358,362
342,360,374,343
396,374,368,339
353,354,377,342
377,368,385,337
350,376,387,336
385,369,392,351
360,377,389,349
328,352,392,337
347,364,390,343
339,351,388,352
368,336,396,348
387,353,403,357
408,411,396,363
328,383,400,355
323,408,404,335
337,403,404,328
390,393,405,323
379,402,409,323
362,402,408,323
396,387,408,323
368,363,413,347
379,371,411,327
351,396,408,338
403,409,403,336
388,406,401,328
376,408,406,329
349,379,402,332
323,362,399,338
343,395,393,347
387,395,395,349
374,405,395,351
323,385,395,349
348,397,401,346
347,404,402,342
406,399,412,349
356,337,405,341
363,350,397,353
341,354,396,353
351,328,389,369
372,342,392,370
395,329,385,374
354,372,386,375
369,353,387,377
352,368,379,379
362,374,371,382
413,389,363,383
392,355,362,379
379,363,379,369
400,349,374,366
336,323,368,354
375,340,374,350
369,338,372,364
349,346,369,368
379,349,354,360
404,377,356,340
