"auto_0","auto_0.56","auto_0.95","auto_0.95rev"
290,247,248,325
185,331,233,341
187,302,229,352
229,252,207,350
296,272,225,347
292,239,206,350
239,271,193,354
194,234,190,357
223,223,187,356
350,294,189,356
202,347,191,352
357,324,185,343
283,279,203,326
305,263,236,316
247,220,217,339
236,215,194,329
337,207,234,344
347,270,247,347
220,233,247,315
222,236,269,324
269,193,266,316
219,283,277,303
292,194,266,310
315,203,272,328
347,288,270,331
272,222,280,306
325,248,283,305
331,252,289,330
277,280,277,322
330,248,276,310
231,285,271,305
354,352,275,294
310,354,255,303
220,344,288,337
294,347,290,336
350,300,296,316
341,294,294,300
310,217,285,292
206,206,292,294
294,271,263,302
193,194,247,303
284,191,246,296
203,279,232,284
276,189,202,239
206,185,231,233
279,187,207,227
303,229,228,220
229,200,220,201
207,247,219,194
303,266,205,206
277,212,234,215
356,257,222,200
294,231,223,209
246,316,248,202
316,310,279,203
329,303,257,212
190,352,258,229
252,310,283,252
289,276,279,252
336,296,276,271
207,206,271,276
263,202,252,279
283,219,252,283
271,275,229,258
270,276,212,257
209,220,203,279
257,202,202,248
271,205,209,223
248,277,200,222
212,258,215,234
247,336,206,205
280,326,194,219
279,296,201,220
324,322,220,228
200,269,227,207
233,203,233,231
305,201,239,202
296,246,284,232
316,305,296,246
203,339,303,247
194,325,302,263
344,229,294,292
248,294,292,285
227,357,300,294
343,341,316,296
266,283,336,290
247,228,337,288
232,266,303,255
276,284,294,275
258,209,305,271
228,190,310,276
326,227,322,277
352,306,330,289
215,316,305,283
234,290,306,280
352,316,331,270
288,315,328,272
328,329,310,266
234,328,303,277
285,350,316,266
300,356,324,269
275,350,315,247
356,303,347,247
266,305,344,234
322,225,329,194
233,247,339,217
217,289,316,236
252,255,326,203
255,292,343,185
205,330,352,191
306,207,356,189
302,234,356,187
316,277,357,190
303,343,354,193
189,356,350,206
225,337,347,225
202,292,350,207
191,232,352,229
339,233,341,233
201,303,325,248
