"auto_0","auto_0.6","auto_0.95","auto_0.95rev"
254,277,267,289
264,301,256,278
255,287,255,284
248,317,264,281
261,262,268,284
311,230,270,286
289,228,284,289
290,238,281,290
282,264,285,280
282,239,287,266
247,282,274,277
301,314,267,285
270,302,278,292
286,289,280,305
284,266,271,314
262,248,268,311
261,278,275,317
256,253,278,320
292,266,269,319
282,296,270,318
294,311,264,317
267,268,249,311
270,262,261,304
318,245,252,302
264,258,262,297
238,241,252,301
292,264,236,294
248,267,231,300
243,261,226,297
228,264,223,298
275,236,225,294
252,238,230,290
253,289,248,286
264,290,258,292
317,298,241,291
233,297,241,296
263,317,240,307
262,278,245,301
241,294,255,297
268,307,235,297
274,300,238,300
223,271,239,294
284,275,244,285
234,297,253,282
249,291,249,282
278,254,254,272
240,263,262,274
301,282,263,264
289,282,262,253
238,234,264,253
290,226,263,261
281,234,247,282
300,285,238,266
285,280,243,264
320,243,234,248
253,269,243,253
314,249,234,236
304,252,232,251
298,261,228,241
243,255,233,234
253,252,234,233
280,232,241,228
266,253,251,232
239,264,236,234
249,285,253,243
264,286,248,234
253,304,264,243
252,284,266,238
251,305,282,247
297,319,261,263
284,294,253,264
264,294,253,262
317,281,264,263
294,262,274,262
268,274,272,254
235,286,282,249
281,290,282,253
234,281,285,244
271,264,294,239
269,267,300,238
241,253,297,235
267,268,297,255
319,247,301,245
262,278,307,240
311,241,296,241
297,285,291,241
230,255,292,258
234,249,286,248
241,236,290,230
286,244,294,225
231,251,298,223
266,241,297,226
297,235,300,231
285,231,294,236
272,243,301,252
245,233,297,262
277,225,302,252
305,240,304,261
296,272,311,249
236,234,317,264
297,223,318,270
291,253,319,269
258,263,320,278
307,270,317,275
287,270,311,268
300,311,314,271
236,284,305,280
244,292,292,278
294,280,285,267
274,301,277,274
278,318,266,287
280,284,280,285
225,292,290,281
285,297,289,284
278,320,286,270
226,300,284,268
263,256,281,264
302,297,284,255
232,274,278,256
255,248,289,267
