"auto_0","auto_0.51","auto_0.95","auto_0.95rev"
74,107,96,87
119,84,96,85
67,105,98,76
138,114,96,67
76,121,96,71
111,140,97,68
71,85,97,67
85,104,100,67
83,96,101,67
127,91,105,67
145,116,104,67
93,90,111,67
123,95,116,67
67,91,116,67
138,116,118,67
101,96,119,71
141,76,124,78
80,85,161,92
83,71,156,92
67,67,153,85
76,67,146,67
108,67,145,67
84,80,129,69
76,78,124,78
67,67,128,84
90,124,121,85
96,150,127,76
104,161,140,88
153,87,149,93
78,87,136,88
87,97,138,84
67,83,138,76
104,128,150,74
97,96,143,73
69,92,134,90
124,107,154,78
136,154,141,91
96,156,135,83
124,130,130,80
91,123,116,67
156,97,112,67
93,90,108,67
106,96,108,80
88,92,107,87
67,136,113,90
99,71,114,91
114,67,111,83
90,67,115,76
98,67,123,83
84,67,117,82
67,69,118,75
123,76,123,82
121,67,113,89
101,76,106,87
91,67,104,89
67,67,115,93
115,73,107,95
96,67,105,99
108,67,104,101
78,113,111,108
117,115,108,111
140,100,101,104
113,115,99,105
116,111,95,107
96,129,93,115
92,153,89,104
105,105,87,106
107,118,89,113
67,112,82,123
82,108,75,118
130,117,82,117
161,111,83,123
85,146,76,115
116,80,83,111
83,82,91,114
89,85,90,113
146,98,87,107
75,108,80,108
67,127,67,108
118,141,67,112
105,89,67,116
67,87,80,130
134,116,83,135
149,111,91,141
128,106,78,154
82,104,90,134
78,93,73,143
111,89,74,150
150,124,76,138
67,123,84,138
111,88,88,136
97,149,93,149
107,138,88,140
89,135,76,127
85,113,85,121
87,145,84,128
113,83,78,124
104,74,69,129
73,75,67,145
115,78,67,146
129,101,85,153
108,78,92,156
67,68,92,161
76,99,78,124
92,104,71,119
67,118,67,118
71,138,67,116
87,108,67,116
95,83,67,111
118,76,67,104
143,82,67,105
135,93,67,101
116,101,67,100
100,67,67,97
80,67,68,97
68,88,71,96
88,134,67,96
112,119,76,98
67,143,85,96
154,84,87,96
