Company,,University of Waterloo,,Tested by,,
Experiment,,,,Probe ID,,
Ser.-No.,,R511.0127,,Measuring period,,2022-09-22 11:31:00 AM - 2022-09-27 11:36:00 AM
,,,,,,
,,,,,,
,,,,,,
Date,Time,Temp.,Set-,Alarm,Alarm,Alarm
,,,Point,Min.,Max.,Temp.
,,(°C),(°C),(°C),(°C),(°C)
,,,,,,
2022-09-22,11:31,20.0,20.0,,,
2022-09-22,11:32,20.0,19.8,,,
2022-09-22,11:33,20.0,19.7,,,
2022-09-22,11:34,20.0,19.6,,,
2022-09-22,11:35,19.8,19.5,,,
2022-09-22,11:36,19.8,19.3,,,
2022-09-22,11:37,19.7,19.2,,,
2022-09-22,11:38,19.7,19.1,,,
2022-09-22,11:39,19.7,19.0,,,
2022-09-22,11:40,19.3,18.8,,,
2022-09-22,11:41,19.3,18.7,,,
2022-09-22,11:42,19.3,18.6,,,
2022-09-22,11:43,19.2,18.5,,,
2022-09-22,11:44,19.0,18.3,,,
2022-09-22,11:45,19.0,18.2,,,
2022-09-22,11:46,18.7,18.1,,,
2022-09-22,11:47,18.7,18.0,,,
2022-09-22,11:48,18.6,17.8,,,
2022-09-22,11:49,18.5,17.7,,,
2022-09-22,11:50,18.3,17.6,,,
2022-09-22,11:51,18.2,17.5,,,
2022-09-22,11:52,18.1,17.3,,,
2022-09-22,11:53,17.8,17.2,,,
2022-09-22,11:54,17.7,17.1,,,
2022-09-22,11:55,17.6,17.0,,,
2022-09-22,11:56,17.3,16.8,,,
2022-09-22,11:57,17.2,16.7,,,
2022-09-22,11:58,17.1,16.6,,,
2022-09-22,11:59,17.1,16.5,,,
2022-09-22,12:00,17.0,16.3,,,
2022-09-22,12:01,16.7,16.2,,,
2022-09-22,12:02,16.6,16.1,,,
2022-09-22,12:03,16.3,16.0,,,
2022-09-22,12:04,16.3,15.8,,,
2022-09-22,12:05,16.2,15.7,,,
2022-09-22,12:06,16.1,15.6,,,
2022-09-22,12:07,16.0,15.5,,,
2022-09-22,12:08,15.8,15.3,,,
2022-09-22,12:09,15.6,15.2,,,
2022-09-22,12:10,15.5,15.1,,,
2022-09-22,12:11,15.3,15.0,,,
2022-09-22,12:12,15.3,14.8,,,
2022-09-22,12:13,15.1,14.7,,,
2022-09-22,12:14,15.0,14.6,,,
2022-09-22,12:15,14.8,14.5,,,
2022-09-22,12:16,14.8,14.3,,,
2022-09-22,12:17,14.6,14.2,,,
2022-09-22,12:18,14.5,14.1,,,
2022-09-22,12:19,14.3,14.0,,,
2022-09-22,12:20,14.1,13.8,,,
2022-09-22,12:21,14.1,13.7,,,
2022-09-22,12:22,13.8,13.6,,,
2022-09-22,12:23,13.6,13.5,,,
2022-09-22,12:24,13.6,13.3,,,
2022-09-22,12:25,13.5,13.2,,,
2022-09-22,12:26,13.3,13.1,,,
2022-09-22,12:27,13.3,13.0,,,
2022-09-22,12:28,13.1,12.8,,,
2022-09-22,12:29,13.1,12.7,,,
2022-09-22,12:30,13.0,12.6,,,
2022-09-22,12:31,12.8,12.5,,,
2022-09-22,12:32,12.6,12.4,,,
2022-09-22,12:33,12.5,12.3,,,
2022-09-22,12:34,12.3,12.2,,,
2022-09-22,12:35,12.1,12.1,,,
2022-09-22,12:36,12.1,12.0,,,
2022-09-22,12:37,12.0,11.9,,,
2022-09-22,12:38,12.0,11.8,,,
2022-09-22,12:39,11.8,11.7,,,
2022-09-22,12:40,11.6,11.6,,,
2022-09-22,12:41,11.6,11.5,,,
2022-09-22,12:42,11.5,11.4,,,
2022-09-22,12:43,11.3,11.4,,,
2022-09-22,12:44,11.3,11.3,,,
2022-09-22,12:45,11.3,11.2,,,
2022-09-22,12:46,11.1,11.1,,,
2022-09-22,12:47,11.1,11.0,,,
2022-09-22,12:48,11.0,10.9,,,
2022-09-22,12:49,10.8,10.8,,,
2022-09-22,12:50,10.8,10.7,,,
2022-09-22,12:51,10.6,10.6,,,
2022-09-22,12:52,10.6,10.5,,,
2022-09-22,12:53,10.5,10.4,,,
2022-09-22,12:54,10.3,10.3,,,
2022-09-22,12:55,10.3,10.3,,,
2022-09-22,12:56,10.3,10.2,,,
2022-09-22,12:57,10.1,10.1,,,
2022-09-22,12:58,9.8,10.0,,,
2022-09-22,12:59,9.8,9.9,,,
2022-09-22,13:00,9.6,9.8,,,
2022-09-22,13:01,9.6,9.7,,,
2022-09-22,13:02,9.6,9.6,,,
2022-09-22,13:03,9.6,9.5,,,
2022-09-22,13:04,9.6,9.4,,,
2022-09-22,13:05,9.5,9.3,,,
2022-09-22,13:06,9.3,9.2,,,
2022-09-22,13:07,9.3,9.2,,,
2022-09-22,13:08,9.1,9.1,,,
2022-09-22,13:09,9.1,9.0,,,
2022-09-22,13:10,9.1,8.9,,,
2022-09-22,13:11,8.8,8.8,,,
2022-09-22,13:12,8.8,8.7,,,
2022-09-22,13:13,8.8,8.6,,,
2022-09-22,13:14,8.6,8.5,,,
2022-09-22,13:15,8.6,8.4,,,
2022-09-22,13:16,8.6,8.3,,,
2022-09-22,13:17,8.5,8.2,,,
2022-09-22,13:18,8.3,8.1,,,
2022-09-22,13:19,8.3,8.1,,,
2022-09-22,13:20,8.3,8.0,,,
2022-09-22,13:21,8.1,7.9,,,
2022-09-22,13:22,8.1,7.8,,,
2022-09-22,13:23,8.1,7.7,,,
2022-09-22,13:24,8.1,7.6,,,
2022-09-22,13:25,8.0,7.5,,,
2022-09-22,13:26,8.0,7.4,,,
2022-09-22,13:27,7.9,7.3,,,
2022-09-22,13:28,7.9,7.2,,,
2022-09-22,13:29,7.9,7.1,,,
2022-09-22,13:30,7.8,7.0,,,
2022-09-22,13:31,7.6,7.0,,,
2022-09-22,13:32,7.6,7.0,,,
2022-09-22,13:33,7.5,7.0,,,
2022-09-22,13:34,7.5,7.0,,,
2022-09-22,13:35,7.4,7.1,,,
2022-09-22,13:36,7.4,7.1,,,
2022-09-22,13:37,7.3,7.1,,,
2022-09-22,13:38,7.3,7.1,,,
2022-09-22,13:39,7.3,7.2,,,
2022-09-22,13:40,7.1,7.2,,,
2022-09-22,13:41,7.1,7.2,,,
2022-09-22,13:42,7.0,7.3,,,
2022-09-22,13:43,7.0,7.3,,,
2022-09-22,13:44,6.9,7.3,,,
2022-09-22,13:45,6.9,7.3,,,
2022-09-22,13:46,6.9,7.4,,,
2022-09-22,13:47,6.9,7.4,,,
2022-09-22,13:48,6.9,7.4,,,
2022-09-22,13:49,7.0,7.5,,,
2022-09-22,13:50,7.0,7.5,,,
2022-09-22,13:51,7.0,7.5,,,
2022-09-22,13:52,7.0,7.5,,,
2022-09-22,13:53,7.0,7.6,,,
2022-09-22,13:54,6.9,7.6,,,
2022-09-22,13:55,6.9,7.6,,,
2022-09-22,13:56,7.0,7.7,,,
2022-09-22,13:57,7.0,7.7,,,
2022-09-22,13:58,7.0,7.7,,,
2022-09-22,13:59,7.1,7.7,,,
2022-09-22,14:00,7.3,7.8,,,
2022-09-22,14:01,7.3,7.8,,,
2022-09-22,14:02,7.3,7.8,,,
2022-09-22,14:03,7.3,7.9,,,
2022-09-22,14:04,7.3,7.9,,,
2022-09-22,14:05,7.4,7.9,,,
2022-09-22,14:06,7.4,7.9,,,
2022-09-22,14:07,7.5,8.0,,,
2022-09-22,14:08,7.5,8.0,,,
2022-09-22,14:09,7.5,8.0,,,
2022-09-22,14:10,7.5,8.1,,,
2022-09-22,14:11,7.6,8.1,,,
2022-09-22,14:12,7.6,8.1,,,
2022-09-22,14:13,7.6,8.1,,,
2022-09-22,14:14,7.8,8.2,,,
2022-09-22,14:15,7.8,8.2,,,
2022-09-22,14:16,7.8,8.2,,,
2022-09-22,14:17,7.9,8.3,,,
2022-09-22,14:18,7.9,8.3,,,
2022-09-22,14:19,7.9,8.3,,,
2022-09-22,14:20,8.0,8.3,,,
2022-09-22,14:21,8.1,8.4,,,
2022-09-22,14:22,8.1,8.4,,,
2022-09-22,14:23,8.1,8.4,,,
2022-09-22,14:24,8.1,8.5,,,
2022-09-22,14:25,8.1,8.5,,,
2022-09-22,14:26,8.1,8.5,,,
2022-09-22,14:27,8.3,8.5,,,
2022-09-22,14:28,8.3,8.6,,,
2022-09-22,14:29,8.3,8.6,,,
2022-09-22,14:30,8.3,8.6,,,
2022-09-22,14:31,8.5,8.7,,,
2022-09-22,14:32,8.5,8.7,,,
2022-09-22,14:33,8.5,8.7,,,
2022-09-22,14:34,8.6,8.8,,,
2022-09-22,14:35,8.6,8.8,,,
2022-09-22,14:36,8.6,8.8,,,
2022-09-22,14:37,8.6,8.9,,,
2022-09-22,14:38,8.6,8.9,,,
2022-09-22,14:39,8.6,8.9,,,
2022-09-22,14:40,8.8,9.0,,,
2022-09-22,14:41,8.8,9.0,,,
2022-09-22,14:42,8.8,9.0,,,
2022-09-22,14:43,8.8,9.1,,,
2022-09-22,14:44,9.0,9.1,,,
2022-09-22,14:45,9.0,9.1,,,
2022-09-22,14:46,9.0,9.2,,,
2022-09-22,14:47,9.1,9.2,,,
2022-09-22,14:48,9.1,9.2,,,
2022-09-22,14:49,9.1,9.3,,,
2022-09-22,14:50,9.1,9.3,,,
2022-09-22,14:51,9.1,9.3,,,
2022-09-22,14:52,9.3,9.4,,,
2022-09-22,14:53,9.3,9.4,,,
2022-09-22,14:54,9.3,9.4,,,
2022-09-22,14:55,9.3,9.5,,,
2022-09-22,14:56,9.3,9.5,,,
2022-09-22,14:57,9.5,9.5,,,
2022-09-22,14:58,9.5,9.6,,,
2022-09-22,14:59,9.5,9.6,,,
2022-09-22,15:00,9.5,9.6,,,
2022-09-22,15:01,9.5,9.7,,,
2022-09-22,15:02,9.6,9.7,,,
2022-09-22,15:03,9.6,9.7,,,
2022-09-22,15:04,9.6,9.8,,,
2022-09-22,15:05,9.6,9.8,,,
2022-09-22,15:06,9.6,9.8,,,
2022-09-22,15:07,9.8,9.9,,,
2022-09-22,15:08,9.8,9.9,,,
2022-09-22,15:09,9.8,9.9,,,
2022-09-22,15:10,9.8,10.0,,,
2022-09-22,15:11,9.8,10.0,,,
2022-09-22,15:12,9.8,10.0,,,
2022-09-22,15:13,10.0,10.1,,,
2022-09-22,15:14,10.0,10.1,,,
