Company,,University of Waterloo,,Tested by,,
Experiment,,,,Probe ID,,
Ser.-No.,,R511.0123,,Measuring period,,2022-10-27 11:05:00 AM - 2022-11-01 11:29:00 AM
,,,,,,
,,,,,,
,,,,,,
Date,Time,Temp.,Set-,Alarm,Alarm,Alarm
,,,Point,Min.,Max.,Temp.
,,(°C),(°C),(°C),(°C),(°C)
,,,,,,
2022-10-27,11:05,20.0,20.0,0.0,75.0,
2022-10-27,11:06,20.0,20.0,0.0,75.0,
2022-10-27,11:07,20.0,20.0,0.0,75.0,
2022-10-27,11:08,20.0,20.0,0.0,75.0,
2022-10-27,11:09,20.0,20.0,0.0,75.0,
2022-10-27,11:10,20.0,20.0,0.0,75.0,
2022-10-27,11:11,20.0,20.0,0.0,75.0,
2022-10-27,11:12,20.0,20.0,0.0,75.0,
2022-10-27,11:13,20.0,20.0,0.0,75.0,
2022-10-27,11:14,20.0,20.0,0.0,75.0,
2022-10-27,11:15,19.9,20.0,0.0,75.0,
2022-10-27,11:16,20.0,20.0,0.0,75.0,
2022-10-27,11:17,20.0,20.0,0.0,75.0,
2022-10-27,11:18,20.0,20.0,0.0,75.0,
2022-10-27,11:19,19.9,20.0,0.0,75.0,
2022-10-27,11:20,19.9,20.0,0.0,75.0,
2022-10-27,11:21,19.9,19.9,0.0,75.0,
2022-10-27,11:22,19.9,19.9,0.0,75.0,
2022-10-27,11:23,19.9,19.9,0.0,75.0,
2022-10-27,11:24,19.9,20.0,0.0,75.0,
2022-10-27,11:25,19.8,19.9,0.0,75.0,
2022-10-27,11:26,19.8,19.9,0.0,75.0,
2022-10-27,11:27,19.8,19.9,0.0,75.0,
2022-10-27,11:28,19.8,20.0,0.0,75.0,
2022-10-27,11:29,19.8,20.0,0.0,75.0,
2022-10-27,11:30,19.8,20.0,0.0,75.0,
2022-10-27,11:31,19.8,19.9,0.0,75.0,
2022-10-27,11:32,19.9,19.9,0.0,75.0,
2022-10-27,11:33,19.8,19.9,0.0,75.0,
2022-10-27,11:34,19.8,19.9,0.0,75.0,
2022-10-27,11:35,19.8,19.9,0.0,75.0,
